PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,REAGENT_ID,ENTREZ_GENE_ID,NCBI_GENE_SYMBOL,PLATE,WELL,CONTROL_AVERAGE_CTG_NORMALISED_TO_NT1_ROBUST_Z_SCORED,CONTROL_Z_SCORE_BIN,DOX_AVERAGE_CTG_NORMALISED_TO_NT1_ROBUST_Z_SCORED,DOX_Z_SCORE_BIN,COMBINED_ZSCORE_BIN,CONTROL_AVERAGE_CTG_NORMALISED_TO_NT1,CONTROL_AVERAGE_CTG_NORMALISED_TO_MOCK,DOX_AVERAGE_CTG_NORMALISED_TO_NT1,DOX_AVERAGE_CTG_NORMALISED_TO_MOCK,FOLD_CHANGE_RATIO,FOLD_CHANGE_RATIO_Z_SCORE,SEED_CLUSTER_MIRNA_SHARING_SEED
RESULT_TYPE,,,,,,,STRING,TARGET_NCBI_GENE_ID,STRING,INTEGER,STRING,FLOAT,STRING,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,Dharmacon GE reagent id,NCBI Entrez Gene database id of intended siRNA target gene,Official symbol of target NCBI Gene Id,Plate number,Well location,"Control (siRNA alone) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates. Average normalised control CTG values used to calculate robust Z-score.","Control robust Z-score binning classification: LC (low cell count): value (2) -2, Hi (high cell count): value (3) 2, and NC (no change): 2 (3) value (3) -2","Doxorubicin treated (siRNA + Doxorubicin) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates. Average normalised control CTG values used to calculate robust Z-score.","Doxorubicin robust Z-score binning classification: LC (low cell count): value (2) -2, Hi (high cell count): value (3) 2, and NC (no change): 2 (3) value (3) -2",Combined (CONTROL_Z_SCORE_BIN and DOX_Z_SCORE_BIN) Z-score bins,"Control (siRNA alone) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates.","Control (siRNA alone) CTG data for each replicate normalised to mock, then averaged the normalised values across the 2 replicates.","Doxorubicin treated (siRNA + Doxorubicin) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates.","Doxorubicin treated (siRNA + Doxorubicin) CTG data for each replicate normalised to mock, then averaged the normalised values across the 2 replicates.",DOX_AVERAGE_CTG_NORMALISED_TO_NT1 / CONTROL_AVERAGE_CTG_NORMALISED_TO_NT1,Robust Z-score calculated on the FOLD_CHANGE_RATIO,Seed cluster analysis (using Dharmacon's seed clusterer tool) results. Enrichment score cut-off (3) 8.
8107,152300084,,Inactive,,,,M-046636-00,67096,Mmachc,15023,E07,1.01,NC,-1.57,NC,NC both,1.01,1,0.8,0.76,0.79,-2.14,
8108,152300090,,Inactive,,,,M-053006-00,246788,Trpv3,15019,N04,1.52,NC,0.45,NC,NC both,1.04,1.08,0.98,1,0.94,-0.45,
8109,152300091,,Inactive,,,,M-053829-00,329972,Spata21,15026,P18,2.53,Hi,1.57,NC,Hi control,1.1,1.08,1.08,1.06,0.98,0,
8110,152300093,,Inactive,,,,M-055022-00,381113,Cdkl4,15002,O18,0.51,NC,1.01,NC,NC both,0.98,0.98,1.03,0.98,1.05,0.79,
8111,152300099,,Inactive,,,,M-065547-00,93681,Zkscan8,15053,G20,0.84,NC,2.25,Hi,Hi dox,1,1,1.14,1.1,1.14,1.8,
8112,152300108,,Inactive,,,,M-060852-00,66403,Asf1a,15031,C22,0.51,NC,0.45,NC,NC both,0.98,0.99,0.98,0.96,1,0.22,
8113,152300122,,Inactive,,,,M-049350-00,20379,Sfrp4,15018,A21,0.34,NC,0.67,NC,NC both,0.97,1,1,1.04,1.03,0.56,
8114,152300123,,Inactive,,,,M-064405-00,239555,Smcr7l,15030,D11,0,NC,-0.45,NC,NC both,0.95,0.94,0.9,0.89,0.95,-0.34,
8115,152300126,,Inactive,,,,M-044134-00,50778,Rgs1,15004,D11,1.52,NC,0.22,NC,NC both,1.04,1.06,0.96,0.92,0.92,-0.67,
8116,152300128,,Inactive,,,,M-059954-00,225348,Wdr36,15027,M14,0.51,NC,0.11,NC,NC both,0.98,0.96,0.95,0.88,0.97,-0.11,
8117,152300131,,Inactive,,,,M-051667-00,11870,Art1,15006,P11,2.19,Hi,2.7,Hi,Hi both,1.08,1.08,1.18,1.1,1.09,1.24,
8118,152300133,,Inactive,,,,M-044389-00,70568,Cpne3,15008,F08,-0.51,NC,-0.22,NC,NC both,0.92,0.97,0.92,0.94,1,0.22,
8119,152300140,,Inactive,,,,M-065429-00,20403,Itsn2,15018,G09,-0.34,NC,-0.22,NC,NC both,0.93,0.96,0.92,0.95,0.99,0.11,
8120,152300144,,Inactive,,,,M-048760-00,69068,1810011O10Rik,15022,L18,-0.67,NC,0.11,NC,NC both,0.91,0.88,0.95,0.88,1.04,0.67,
8121,152300146,,Inactive,,,,M-052124-00,233057,Zfp940,15032,D18,-0.17,NC,0.11,NC,NC both,0.94,0.96,0.95,0.91,1.01,0.34,
8122,152300154,,Inactive,,,,M-063448-00,66999,Med28,15021,H12,-1.69,NC,0.22,NC,NC both,0.85,0.84,0.96,0.91,1.13,1.69,
8123,152300161,,Inactive,,,,M-046699-00,66371,Chmp4c,15023,G22,1.18,NC,0.34,NC,NC both,1.02,1.01,0.97,0.91,0.95,-0.34,
8124,152300164,,Inactive,,,,M-063925-00,109075,Exosc4,15038,M03,0.34,NC,-0.45,NC,NC both,0.97,0.96,0.9,0.9,0.93,-0.56,
8125,152300165,,Inactive,,,,M-051923-00,3107,NALP6,15042,P09,2.36,Hi,1.12,NC,Hi control,1.09,1.05,1.04,1.01,0.95,-0.34,
8126,152300166,,Inactive,,,,M-043758-00,16401,Itga4,15013,E15,-1.01,NC,-0.45,NC,NC both,0.89,0.9,0.9,0.93,1.01,0.34,
8127,152300168,,Active,,,,M-059021-00,14681,Gnao1,15003,N17,0.67,NC,-2.25,LC,LC dox,0.99,1,0.74,0.75,0.75,-2.59,
8128,152300186,,Inactive,,,,M-062968-00,231834,Snx8,15050,G12,-1.18,NC,-0.67,NC,NC both,0.88,0.9,0.88,0.84,1,0.22,
8129,152300187,,Inactive,,,,M-052002-00,246083,Defb13,15036,H08,0.67,NC,0.22,NC,NC both,0.99,1.01,0.96,0.92,0.97,-0.11,
8130,152300195,,Inactive,,,,M-056965-00,74996,A630020C16RIK,15029,M06,-0.17,NC,-1.69,NC,NC both,0.94,0.94,0.79,0.79,0.84,-1.57,
8131,152300197,,Inactive,,,,M-049048-00,85030,Tnfrsf25,15019,K12,-1.18,NC,-1.12,NC,NC both,0.88,0.91,0.84,0.86,0.95,-0.34,
8132,152300198,,Inactive,,,,M-063729-00,243764,Chrm2,15003,O12,0.67,NC,-1.35,NC,NC both,0.99,1,0.82,0.84,0.83,-1.69,
8133,152300199,,Inactive,,,,M-052676-00,66404,5730427M17RIK,15027,K20,-0.67,NC,-0.79,NC,NC both,0.91,0.9,0.87,0.81,0.96,-0.22,
8134,152300203,,Inactive,,,,M-054445-00,225215,Rsl24d1,15032,A10,-3.2,LC,-0.67,NC,LC control,0.76,0.78,0.88,0.85,1.16,2.02,
8135,152300204,,Inactive,,,,M-055449-00,216724,Rufy1,15048,P19,2.19,Hi,3.04,Hi,Hi both,1.08,1.08,1.21,1.12,1.12,1.57,
8136,152300211,,Inactive,,,,M-062081-00,13516,Epyc,15037,G08,1.85,NC,0,NC,NC both,1.06,1.09,0.94,0.95,0.89,-1.01,
8137,152300222,,Inactive,,,,M-054849-00,13358,Slc25a1,15018,H18,-1.18,NC,0,NC,NC both,0.88,0.91,0.94,0.98,1.07,1.01,
8138,152300223,,Inactive,,,,M-046469-00,16370,Irs4,15013,C09,0.67,NC,-0.22,NC,NC both,0.99,1,0.92,0.94,0.93,-0.56,
8139,152300225,,Inactive,,,,M-050622-00,114886,Cygb,15035,B13,-1.52,NC,0,NC,NC both,0.86,0.88,0.94,0.91,1.09,1.24,
8140,152300233,,Active,,,,M-051331-00,63993,Slc5a7,15049,N16,0.67,NC,-2.02,LC,LC dox,0.99,1.01,0.76,0.72,0.77,-2.36,
8141,152300239,,Inactive,,,,M-047187-00,19692,Reg1,15048,G13,-6.41,LC,-7.87,LC,LC both,0.57,0.57,0.24,0.22,0.42,-6.3,
8142,152300243,,Inactive,,,,M-045770-00,14615,Gjc1,15011,M22,1.52,NC,2.02,Hi,Hi dox,1.04,1.1,1.12,1.11,1.08,1.12,
8143,152300255,,Inactive,,,,M-054708-00,229707,Strip1,15027,L20,2.19,Hi,-0.9,NC,Hi control,1.08,1.06,0.86,0.8,0.8,-2.02,
8144,152300256,,Inactive,,,,M-043087-00,12540,Cdc42,15008,K07,-2.19,LC,-0.9,NC,LC control,0.82,0.86,0.86,0.88,1.05,0.79,
8145,152300258,,Active,,,,M-046081-00,69306,Efcab9,15022,E15,0.17,NC,-3.26,LC,LC dox,0.96,0.92,0.65,0.61,0.68,-3.37,
8146,152300262,,Inactive,,,,M-051286-00,233046,Rasgrp4,15016,P08,1.18,NC,0.45,NC,NC both,1.02,1.04,0.98,0.96,0.96,-0.22,
8147,152300263,,Inactive,,,,M-052788-00,234624,A330008L17Rik,15029,K19,-0.67,NC,0.67,NC,NC both,0.91,0.92,1,1.01,1.1,1.35,
8148,152300265,,Inactive,,,,M-054992-00,70925,Cdkn2aip,15025,N14,1.01,NC,-0.45,NC,NC both,1.01,1.04,0.9,0.88,0.89,-1.01,
8149,152300276,,Inactive,,,,M-040693-00,101540,Prkd2,15001,K19,-0.51,NC,0.22,NC,NC both,0.92,0.96,0.96,0.97,1.04,0.67,
8150,152300287,,Inactive,,,,M-062380-00,74551,Pck2,15001,A21,0.51,NC,-0.34,NC,NC both,0.98,1.02,0.91,0.91,0.93,-0.56,
8151,152300288,,Inactive,,,,M-065557-00,57443,Fbxo3,15010,O04,-0.17,NC,-1.8,NC,NC both,0.94,0.92,0.78,0.78,0.83,-1.69,
8152,152300289,,Inactive,,,,M-047444-00,116940,Tgs1,15014,J05,0.84,NC,0,NC,NC both,1,1,0.94,0.9,0.94,-0.45,
8153,152300290,,Inactive,,,,M-047445-00,17381,Mmp12,15013,L10,0.17,NC,-0.56,NC,NC both,0.96,0.97,0.89,0.92,0.93,-0.56,
8154,152300294,,Inactive,,,,M-057572-00,381560,Xkr8,15026,P15,3.04,Hi,1.35,NC,Hi control,1.13,1.1,1.06,1.04,0.94,-0.45,
8155,152300297,,Inactive,,,,M-062604-00,14874,Gstz1,15011,J13,-0.84,NC,-1.46,NC,NC both,0.9,0.96,0.81,0.8,0.9,-0.9,
8156,152300302,,Inactive,,,,M-060542-00,20844,Stam,15018,H17,0.17,NC,-0.22,NC,NC both,0.96,0.98,0.92,0.96,0.96,-0.22,
8157,152300309,,Inactive,,,,M-064900-00,387346,Tas2r114,15051,K17,0.34,NC,0.79,NC,NC both,0.97,0.96,1.01,0.95,1.04,0.67,
8158,152300315,,Inactive,,,,M-061601-00,23994,Dazap2,15009,N12,0.34,NC,0.45,NC,NC both,0.97,1,0.98,0.94,1.01,0.34,
8159,152300334,,Inactive,,,,M-045373-00,56194,Prpf40a,15038,B11,0.34,NC,-0.56,NC,NC both,0.97,0.96,0.89,0.88,0.92,-0.67,
8160,152300339,,Inactive,,,,M-059170-00,78286,Nav2,15027,A04,2.7,Hi,0,NC,Hi control,1.11,1.09,0.94,0.87,0.85,-1.46,
8161,152300347,,Active,,,,M-051550-00,66246,Osgep,15046,E14,-1.85,NC,-2.47,LC,LC dox,0.84,0.86,0.72,0.7,0.86,-1.35,
8162,152300364,,Inactive,,,,M-043999-00,17159,Man2b1,15013,B04,0.84,NC,0.45,NC,NC both,1,1,0.98,1.02,0.98,0,
8163,152300366,,Inactive,,,,M-046291-00,69171,Cnppd1,15023,C05,1.85,NC,-0.22,NC,NC both,1.06,1.05,0.92,0.88,0.87,-1.24,
8164,152300379,,Inactive,,,,M-065575-00,93694,Clec2d,15043,M14,-0.17,NC,0.9,NC,NC both,0.94,0.92,1.02,0.94,1.09,1.24,
8165,152300397,,Inactive,,,,M-049122-00,18788,Serpinb2,15017,N06,1.85,NC,-0.22,NC,NC both,1.06,1.05,0.92,0.91,0.87,-1.24,
8166,152300398,,Inactive,,,,M-064913-00,387352,Tas2r125,15004,J21,1.18,NC,0.9,NC,NC both,1.02,1.04,1.02,0.98,1,0.22,
8167,152300406,,Inactive,,,,M-065215-00,258238,Olfr417,15045,A03,-0.34,NC,-0.22,NC,NC both,0.93,0.94,0.92,0.9,0.99,0.11,
8168,152300407,,Inactive,,,,M-053550-00,237300,Gm4922,15027,C11,-0.17,NC,0.45,NC,NC both,0.94,0.93,0.98,0.92,1.04,0.67,
8169,152300408,,Inactive,,,,M-054889-00,52679,E2f7,15037,H15,-0.17,NC,-0.67,NC,NC both,0.94,0.97,0.88,0.9,0.94,-0.45,
8170,152300417,,Inactive,,,,M-064316-00,13486,Dr1,15009,D19,-0.34,NC,0,NC,NC both,0.93,0.96,0.94,0.9,1.01,0.34,
8171,152300418,,Inactive,,,,M-055731-00,81600,Chia,15004,N06,-0.67,NC,-1.12,NC,NC both,0.91,0.93,0.84,0.8,0.92,-0.67,
8172,152300419,,Inactive,,,,M-061433-00,13382,Dld,15009,I06,0.34,NC,0.67,NC,NC both,0.97,1.01,1,0.96,1.03,0.56,
8173,152300421,,Inactive,,,,M-056071-00,218294,Cdc14b,15008,I07,-0.51,NC,-0.11,NC,NC both,0.92,0.97,0.93,0.94,1.01,0.34,
8174,152300429,,Inactive,,,,M-047834-00,67133,Gp2,15039,K13,0,NC,-0.9,NC,NC both,0.95,0.97,0.86,0.84,0.91,-0.79,
8175,152300431,,Inactive,,,,M-052071-00,75329,BC018510,15032,O08,1.52,NC,0.34,NC,NC both,1.04,1.06,0.97,0.93,0.93,-0.56,
8176,152300434,,Inactive,,,,M-040560-00,347722,Agap1,15034,H09,-1.18,NC,-1.12,NC,NC both,0.88,0.88,0.84,0.81,0.95,-0.34,
8177,152300438,,Inactive,,,,M-059848-00,258935,Olfr790,15045,B14,-1.85,NC,-1.12,NC,NC both,0.84,0.86,0.84,0.82,1,0.22,
8178,152300439,,Active,,,,M-051034-00,66116,Cml1,15034,L10,-1.52,NC,-2.36,LC,LC dox,0.86,0.86,0.73,0.71,0.85,-1.46,
8179,152300441,,Inactive,,,,M-054759-00,207798,Gramd1c,15025,P20,1.85,NC,1.46,NC,NC both,1.06,1.1,1.07,1.06,1.01,0.34,
8180,152300443,,Inactive,,,,M-044823-00,104252,Cdc42ep2,15034,O16,0.51,NC,0.11,NC,NC both,0.98,0.98,0.95,0.92,0.97,-0.11,
8181,152300451,,Inactive,,,,M-048522-00,18861,Pms2,15016,J05,0.67,NC,1.35,NC,NC both,0.99,1.02,1.06,1.04,1.07,1.01,
8182,152300455,,Inactive,,,,M-048895-00,27357,Gyg,15039,M06,-0.51,NC,-0.67,NC,NC both,0.92,0.93,0.88,0.86,0.96,-0.22,
8183,152300457,,Inactive,,,,M-048872-00,69611,Lce1d,15050,P18,1.52,NC,2.25,Hi,Hi dox,1.04,1.06,1.14,1.1,1.1,1.35,
8184,152300462,,Inactive,,,,M-058614-00,12223,Btc,15033,O04,0.51,NC,-0.67,NC,NC both,0.98,1,0.88,0.86,0.9,-0.9,
8185,152300470,,Inactive,,,,M-045794-00,23947,Mid2,15041,N22,1.18,NC,1.57,NC,NC both,1.02,1.02,1.08,1.02,1.06,0.9,
8186,152300478,,Inactive,,,,M-053694-00,327860,Gm11961,15029,B04,1.35,NC,0,NC,NC both,1.03,1.04,0.94,0.94,0.91,-0.79,
8187,152300480,,Inactive,,,,M-044598-00,15464,Hrc,15012,I14,-0.84,NC,1.12,NC,NC both,0.9,0.94,1.04,1,1.16,2.02,
8188,152300481,,Inactive,,,,M-057714-00,244179,Ubqlnl,15026,E19,-0.34,NC,-0.79,NC,NC both,0.93,0.91,0.87,0.86,0.94,-0.45,
8189,152300484,,Inactive,,,,M-064911-00,387356,Tas2r131,15019,H09,-0.17,NC,-0.67,NC,NC both,0.94,0.98,0.88,0.89,0.94,-0.45,
8190,152300487,,Inactive,,,,M-059450-00,66272,Cox16,15022,P22,-0.51,NC,-1.46,NC,NC both,0.92,0.89,0.81,0.75,0.88,-1.12,
8191,152300488,,Inactive,,,,M-062002-00,12323,Camk2b,15001,K12,-1.85,NC,-0.67,NC,NC both,0.84,0.88,0.88,0.88,1.05,0.79,
8192,152300492,,Inactive,,,,M-046796-00,67998,Fam134c,15021,D16,1.01,NC,0.34,NC,NC both,1.01,0.99,0.97,0.92,0.96,-0.22,
8193,152300495,,Inactive,,,,M-059797-00,75007,Fam63a,15026,E16,0,NC,-1.57,NC,NC both,0.95,0.94,0.8,0.78,0.84,-1.57,
8194,152300507,,Inactive,,,,M-046240-00,68044,Chac2,15024,M03,0.51,NC,0.56,NC,NC both,0.98,1.02,0.99,1.04,1.01,0.34,
8195,152300509,,Inactive,,,,M-049591-00,54667,Atp8b2,15006,J08,1.35,NC,-0.79,NC,NC both,1.03,1.03,0.87,0.82,0.84,-1.57,
8196,152300510,,Inactive,,,,M-050635-00,105844,Card10,15001,K22,-0.51,NC,-0.67,NC,NC both,0.92,0.96,0.88,0.88,0.96,-0.22,
8197,152300517,,Inactive,,,,M-043741-00,30059,Timm10,15051,D21,0.84,NC,-1.35,NC,NC both,1,0.99,0.82,0.78,0.82,-1.8,
8198,152300519,,Inactive,,,,M-061074-00,258635,Olfr1140,15043,D16,0.17,NC,0.67,NC,NC both,0.96,0.94,1,0.94,1.04,0.67,
8199,152300520,,Inactive,,,,M-055052-00,241915,Phc3,15046,J12,-0.84,NC,-1.46,NC,NC both,0.9,0.91,0.81,0.8,0.9,-0.9,
8200,152300526,,Inactive,,,,M-045912-00,18032,Nfix,15014,B14,0,NC,1.12,NC,NC both,0.95,0.96,1.04,1,1.09,1.24,
8201,152300527,,Inactive,,,,M-059940-00,258897,Olfr1201,15043,L10,-1.69,NC,-0.67,NC,NC both,0.85,0.83,0.88,0.81,1.04,0.67,
8202,152300528,,Inactive,,,,M-048449-00,21339,Taf1a,15018,D10,-1.52,NC,-0.22,NC,NC both,0.86,0.9,0.92,0.96,1.07,1.01,
8203,152300529,,Inactive,,,,M-050484-00,22690,Zfp28,15053,K16,1.35,NC,0.34,NC,NC both,1.03,1.04,0.97,0.94,0.94,-0.45,
8204,152300535,,Inactive,,,,M-053560-00,238692,Zfp874a,15033,H04,0.51,NC,-0.22,NC,NC both,0.98,0.98,0.92,0.9,0.94,-0.45,
8205,152300539,,Inactive,,,,M-054240-00,328388,Gm10101,15029,M04,0.17,NC,-0.45,NC,NC both,0.96,0.97,0.9,0.9,0.94,-0.45,
8206,152300540,,Inactive,,,,M-043188-00,12939,Pcdha7,15046,F03,-0.17,NC,-1.12,NC,NC both,0.94,0.96,0.84,0.83,0.89,-1.01,
8207,152300543,,Inactive,,,,M-062362-00,56325,Abcb9,15030,C15,-0.51,NC,0,NC,NC both,0.92,0.9,0.94,0.94,1.02,0.45,
8208,152300548,,Inactive,,,,M-046846-00,21944,Tnfsf12,15019,M08,-0.17,NC,-0.9,NC,NC both,0.94,0.96,0.86,0.86,0.91,-0.79,
8209,152300556,,Inactive,,,,M-051984-00,225913,Dak,15001,E08,0.51,NC,0.9,NC,NC both,0.98,1.02,1.02,1.03,1.04,0.67,
8210,152300571,,Inactive,,,,M-042888-00,14121,Fbp1,15010,K10,-0.17,NC,0.45,NC,NC both,0.94,0.94,0.98,0.99,1.04,0.67,
8211,152300573,,Inactive,,,,M-044262-00,20558,Slfn4,15050,G09,-1.85,NC,-0.22,NC,NC both,0.84,0.86,0.92,0.88,1.1,1.35,
8212,152300574,,Inactive,,,,M-045719-00,24068,Sra1,15050,F15,0.34,NC,1.35,NC,NC both,0.97,1,1.06,1.02,1.09,1.24,
8213,152300577,,Inactive,,,,M-040914-00,268903,Nrip1,15015,C03,-0.51,NC,0.34,NC,NC both,0.92,0.94,0.97,1.02,1.05,0.79,
8214,152300580,,Inactive,,,,M-043896-00,109889,Mzf1,15020,P09,4.55,Hi,2.14,Hi,Hi both,1.22,1.22,1.13,1.08,0.93,-0.56,
8215,152300595,,Inactive,,,,M-056847-00,22295,Cdh23,15008,M19,1.18,NC,0.45,NC,NC both,1.02,1.06,0.98,0.98,0.96,-0.22,
8216,152300597,,Inactive,,,,M-050717-00,71393,Kctd6,15040,H09,-0.51,NC,-1.57,NC,NC both,0.92,0.93,0.8,0.82,0.87,-1.24,
8217,152300601,,Inactive,,,,M-044104-00,17857,Mx1,15014,O03,-0.34,NC,0.45,NC,NC both,0.93,0.93,0.98,0.94,1.05,0.79,
8218,152300615,,Inactive,,,,M-065357-00,72585,Lypd1,15024,N21,1.18,NC,0.67,NC,NC both,1.02,1.08,1,1.05,0.98,0,
8219,152300622,,Active,,,,M-063597-00,68671,Pcyt2,15046,P11,1.35,NC,-2.14,LC,LC dox,1.03,1.04,0.75,0.74,0.73,-2.81,
8220,152300634,,Inactive,,,,M-042050-00,11908,Atf1,15006,D12,-0.67,NC,-1.12,NC,NC both,0.91,0.9,0.84,0.78,0.92,-0.67,
8221,152300636,,Inactive,,,,M-055532-00,230775,Bai2,15003,G14,-0.51,NC,-0.45,NC,NC both,0.92,0.93,0.9,0.91,0.98,0,
8222,152300640,,Inactive,,,,M-063963-00,74729,Setmar,15018,A05,-1.18,NC,-0.67,NC,NC both,0.88,0.9,0.88,0.92,1,0.22,
8223,152300642,,Inactive,,,,M-043766-00,27367,Rpl3,15048,B21,-4.89,LC,-4.83,LC,LC both,0.66,0.66,0.51,0.47,0.77,-2.36,
8224,152300644,,Inactive,,,,M-055458-00,269003,Sap130,15024,D09,-0.84,NC,-0.22,NC,NC both,0.9,0.94,0.92,0.95,1.02,0.45,
8225,152300645,,Inactive,,,,M-045621-00,74435,Lrriq3,15026,J18,-0.17,NC,-0.67,NC,NC both,0.94,0.92,0.88,0.86,0.94,-0.45,
8226,152300646,,Inactive,,,,M-046050-00,100504617,STRM,15050,D08,0.17,NC,-0.22,NC,NC both,0.96,0.98,0.92,0.88,0.96,-0.22,
8227,152300648,,Inactive,,,,M-044004-00,17145,Mageb1,15041,D13,-1.52,NC,-0.45,NC,NC both,0.86,0.86,0.9,0.84,1.05,0.79,
8228,152300652,,Active,,,,M-059758-00,78825,Desi2,15027,H17,0,NC,-2.02,LC,LC dox,0.95,0.94,0.76,0.7,0.8,-2.02,
8229,152300661,,Inactive,,,,M-052839-00,108909,Aida,15024,B19,0.51,NC,1.69,NC,NC both,0.98,1.03,1.09,1.14,1.11,1.46,
8230,152300665,,Inactive,,,,M-056926-00,320560,Dennd5b,15035,L17,0.84,NC,0,NC,NC both,1,1.01,0.94,0.92,0.94,-0.45,
8231,152300669,,Inactive,,,,M-064925-00,16661,Krt10,15013,H07,-0.51,NC,-0.22,NC,NC both,0.92,0.93,0.92,0.94,1,0.22,
8232,152300675,,Inactive,,,,M-052204-00,230082,Nol6,15043,G05,-0.84,NC,-0.11,NC,NC both,0.9,0.88,0.93,0.86,1.03,0.56,
8233,152300676,,Inactive,,,,M-053099-00,320234,Ccdc66,15037,H03,0.67,NC,-0.67,NC,NC both,0.99,1.03,0.88,0.88,0.89,-1.01,
8234,152300677,,Inactive,,,,M-047649-00,17920,Myo6,15014,B03,1.18,NC,1.46,NC,NC both,1.02,1.02,1.07,1.04,1.05,0.79,
8235,152300681,,Inactive,,,,M-042517-00,13629,Eef2,15010,F21,-1.18,NC,-1.12,NC,NC both,0.88,0.88,0.84,0.85,0.95,-0.34,
8236,152300682,,Inactive,,,,M-046101-00,15107,Hadh,15011,D18,-1.01,NC,0.45,NC,NC both,0.89,0.94,0.98,0.98,1.1,1.35,
8237,152300683,,Inactive,,,,M-040893-00,72508,Rps6kb1,15048,N05,1.01,NC,0.45,NC,NC both,1.01,1.02,0.98,0.9,0.97,-0.11,
8238,152300690,,Inactive,,,,M-064333-00,72745,Tmem161b,15025,I05,0.67,NC,-1.35,NC,NC both,0.99,1.02,0.82,0.81,0.83,-1.69,
8239,152300691,,Inactive,,,,M-052015-00,103149,Upb1,15052,E22,1.01,NC,-0.22,NC,NC both,1.01,1.01,0.92,0.86,0.91,-0.79,
8240,152300697,,Inactive,,,,M-048829-00,19091,Prkg1,15002,B20,-0.51,NC,1.57,NC,NC both,0.92,0.92,1.08,1.02,1.17,2.14,
8241,152300700,,Inactive,,,,M-043121-00,12211,Birc6,15007,C10,-1.18,NC,0.9,NC,NC both,0.88,0.9,1.02,0.98,1.16,2.02,
8242,152300712,,Inactive,,,,M-048310-00,22759,Zfp97,15053,P05,3.04,Hi,1.69,NC,Hi control,1.13,1.14,1.09,1.06,0.96,-0.22,
8243,152300717,,Inactive,,,,M-054928-00,72900,Ndufv2,15014,L19,-1.52,NC,1.12,NC,NC both,0.86,0.87,1.04,1,1.21,2.59,
8244,152300728,,Inactive,,,,M-046608-00,233904,NSCCN1,15043,O15,0.84,NC,0.9,NC,NC both,1,0.97,1.02,0.95,1.02,0.45,
8245,152300750,,Inactive,,,,M-052990-00,319819,4932435O22Rik,15026,F16,-1.52,NC,1.35,NC,NC both,0.86,0.84,1.06,1.04,1.23,2.81,
8246,152300755,,Inactive,,,,M-048921-00,64384,Sirt3,15049,M04,0.17,NC,0.34,NC,NC both,0.96,0.98,0.97,0.93,1.01,0.34,
8247,152300764,,Inactive,,,,M-041088-00,14489,Mtpn,15042,B17,0.84,NC,1.01,NC,NC both,1,0.96,1.03,1,1.03,0.56,
8248,152300765,,Inactive,,,,M-049433-00,56312,Nupr1,15043,G14,-4.05,LC,-2.7,LC,LC both,0.71,0.69,0.7,0.64,0.99,0.11,
8249,152300773,,Inactive,,,,M-047273-00,18611,Pea15a,15015,J19,-0.17,NC,-0.9,NC,NC both,0.94,0.96,0.86,0.9,0.91,-0.79,
8250,152300778,,Inactive,,,,M-051171-00,14957,Hist1h1d,15039,B08,0.51,NC,-1.24,NC,NC both,0.98,0.99,0.83,0.82,0.85,-1.46,
8251,152300783,,Inactive,,,,M-042734-00,19087,Prkar2a,15002,P07,0.84,NC,1.57,NC,NC both,1,0.98,1.08,1.02,1.08,1.12,
8252,152300788,,Inactive,,,,M-040422-00,17389,Mmp16,15013,L18,-0.17,NC,0,NC,NC both,0.94,0.94,0.94,0.96,1,0.22,
8253,152300789,,Inactive,,,,M-054819-00,381944,Usp17lb,15037,G22,1.52,NC,-0.79,NC,NC both,1.04,1.08,0.87,0.89,0.84,-1.57,
8254,152300809,,Inactive,,,,M-041453-00,18352,Olfr52,15045,M15,0,NC,-0.22,NC,NC both,0.95,0.96,0.92,0.9,0.97,-0.11,
8255,152300820,,Inactive,,,,M-062321-00,19348,Kif20a,15013,I08,-0.51,NC,-0.79,NC,NC both,0.92,0.92,0.87,0.89,0.95,-0.34,
8256,152300828,,Inactive,,,,M-064748-00,70472,Atad2,15006,D08,-0.84,NC,-0.9,NC,NC both,0.9,0.9,0.86,0.8,0.96,-0.22,
8257,152300834,,Inactive,,,,M-063913-00,76454,Fbxo31,15010,M10,-0.51,NC,-0.67,NC,NC both,0.92,0.92,0.88,0.9,0.96,-0.22,
8258,152300837,,Inactive,,,,M-054109-00,140474,4933405I11RIK,15026,L10,2.19,Hi,0.67,NC,Hi control,1.08,1.06,1,0.99,0.93,-0.56,
8259,152300844,,Inactive,,,,M-051806-00,3105,4833432B22RIK,15025,H20,-1.18,NC,0.45,NC,NC both,0.88,0.9,0.98,0.96,1.11,1.46,
8260,152300845,,Inactive,,,,M-064879-00,233231,Mrgprb1,15042,K17,-0.51,NC,1.12,NC,NC both,0.92,0.88,1.04,1,1.13,1.69,
